Onset_Beats,Duration_Beats,Midi_Channel,Midi_Pitch,Velocity,Onset_Sec,Duration_Sec,Composer,Piece,idk
86,0.125,0,68,127,44.3,0.1,N/A,N/A,0
87,0.75,0,59,127,44.9,0.4,N/A,N/A,0
87.75,0.75,0,66,127,45.3,0.4,N/A,N/A,0
88.5,0.25,0,64,127,45.7,0.1,N/A,N/A,0
88.875,0.125,0,62,127,45.8,0.1,N/A,N/A,0
89,0.25,0,63,127,45.9,0.1,N/A,N/A,0
89.25,0.25,0,61,127,46,0.1,N/A,N/A,0
89.75,0.5,0,59,127,46.3,0.3,N/A,N/A,0
90.25,0.125,0,61,127,46.6,0.1,N/A,N/A,0
90.375,0.125,0,62,127,46.6,0.1,N/A,N/A,0
90.5,0.5,0,63,127,46.7,0.3,N/A,N/A,0
91,0.125,0,61,127,47,0.1,N/A,N/A,0
91.25,0.125,0,64,127,47.1,0.1,N/A,N/A,0
91.5,0.125,0,63,127,47.2,0.1,N/A,N/A,0
91.75,0.125,0,64,127,47.3,0.1,N/A,N/A,0
92,0.125,0,61,127,47.5,0.1,N/A,N/A,0
92.75,0.5,0,61,127,47.9,0.3,N/A,N/A,0
93.25,0.125,0,63,127,48.1,0.1,N/A,N/A,0
93.5,0.125,0,64,127,48.3,0.1,N/A,N/A,0
93.75,0.125,0,71,127,48.4,0.1,N/A,N/A,0
94,0.125,0,68,127,48.5,0.1,N/A,N/A,0
95,0.125,0,61,127,49,0.1,N/A,N/A,0
95.25,0.125,0,64,127,49.2,0.1,N/A,N/A,0
95.5,0.125,0,63,127,49.3,0.1,N/A,N/A,0
95.75,0.125,0,64,127,49.4,0.1,N/A,N/A,0
96,0.125,0,61,127,49.6,0.1,N/A,N/A,0
96.75,0.5,0,61,127,50,0.3,N/A,N/A,0
97.25,0.125,0,63,127,50.2,0.1,N/A,N/A,0
97.5,0.125,0,64,127,50.3,0.1,N/A,N/A,0
97.75,0.125,0,71,127,50.5,0.1,N/A,N/A,0
98,0.125,0,68,127,50.6,0.1,N/A,N/A,0
99,0.125,0,61,127,51.1,0.1,N/A,N/A,0
99.25,0.125,0,64,127,51.3,0.1,N/A,N/A,0
99.5,0.125,0,63,127,51.4,0.1,N/A,N/A,0
99.75,0.125,0,64,127,51.5,0.1,N/A,N/A,0
100,0.125,0,61,127,51.7,0.1,N/A,N/A,0
100.75,0.5,0,61,127,52,0.3,N/A,N/A,0
101.25,0.125,0,63,127,52.3,0.1,N/A,N/A,0
101.5,0.125,0,64,127,52.4,0.1,N/A,N/A,0
101.75,0.125,0,71,127,52.6,0.1,N/A,N/A,0
102,0.125,0,68,127,52.7,0.1,N/A,N/A,0
103,0.75,0,59,127,53.2,0.4,N/A,N/A,0
103.75,0.75,0,66,127,53.6,0.4,N/A,N/A,0
104.5,0.25,0,64,127,54,0.1,N/A,N/A,0
104.875,0.125,0,62,127,54.2,0.1,N/A,N/A,0
105,0.25,0,63,127,54.3,0.1,N/A,N/A,0
105.25,0.25,0,61,127,54.4,0.1,N/A,N/A,0
105.75,0.5,0,59,127,54.7,0.3,N/A,N/A,0
106.25,0.125,0,61,127,54.9,0.1,N/A,N/A,0
106.375,0.125,0,62,127,55,0.1,N/A,N/A,0
106.5,0.5,0,63,127,55,0.3,N/A,N/A,0
107,0.125,0,61,127,55.3,0.1,N/A,N/A,0
107.25,0.125,0,64,127,55.4,0.1,N/A,N/A,0
107.5,0.125,0,63,127,55.6,0.1,N/A,N/A,0
107.75,0.125,0,64,127,55.7,0.1,N/A,N/A,0
108,0.125,0,61,127,55.8,0.1,N/A,N/A,0
108.75,0.5,0,61,127,56.2,0.3,N/A,N/A,0
109.25,0.125,0,63,127,56.5,0.1,N/A,N/A,0
109.5,0.125,0,64,127,56.6,0.1,N/A,N/A,0
109.75,0.125,0,71,127,56.7,0.1,N/A,N/A,0
110,0.125,0,68,127,56.9,0.1,N/A,N/A,0
111,0.125,0,61,127,57.4,0.1,N/A,N/A,0
111.25,0.125,0,64,127,57.5,0.1,N/A,N/A,0
111.5,0.125,0,63,127,57.7,0.1,N/A,N/A,0
111.75,0.125,0,64,127,57.8,0.1,N/A,N/A,0
112,0.125,0,61,127,57.9,0.1,N/A,N/A,0
112.75,0.5,0,61,127,58.3,0.3,N/A,N/A,0
113.25,0.125,0,63,127,58.6,0.1,N/A,N/A,0
113.5,0.125,0,64,127,58.7,0.1,N/A,N/A,0
113.75,0.125,0,71,127,58.8,0.1,N/A,N/A,0
114,0.125,0,68,127,59,0.1,N/A,N/A,0
115,0.125,0,61,127,59.5,0.1,N/A,N/A,0
115.25,0.125,0,64,127,59.6,0.1,N/A,N/A,0
115.5,0.125,0,63,127,59.7,0.1,N/A,N/A,0
115.75,0.125,0,64,127,59.9,0.1,N/A,N/A,0
116,0.125,0,61,127,60,0.1,N/A,N/A,0
116.75,0.5,0,61,127,60.4,0.3,N/A,N/A,0
117.25,0.125,0,63,127,60.7,0.1,N/A,N/A,0
117.5,0.125,0,64,127,60.8,0.1,N/A,N/A,0
117.75,0.125,0,71,127,60.9,0.1,N/A,N/A,0
118,0.125,0,68,127,61,0.1,N/A,N/A,0
119,0.75,0,59,127,61.6,0.4,N/A,N/A,0
119.75,0.75,0,66,127,62,0.4,N/A,N/A,0
120.5,0.25,0,64,127,62.3,0.1,N/A,N/A,0
120.875,0.125,0,62,127,62.5,0.1,N/A,N/A,0
121,0.25,0,63,127,62.6,0.1,N/A,N/A,0
121.25,0.25,0,61,127,62.7,0.1,N/A,N/A,0
121.75,0.5,0,59,127,63,0.3,N/A,N/A,0
122.25,0.125,0,61,127,63.3,0.1,N/A,N/A,0
122.375,0.125,0,62,127,63.3,0.1,N/A,N/A,0
122.5,0.5,0,63,127,63.4,0.3,N/A,N/A,0
123,0.125,0,61,127,63.7,0.1,N/A,N/A,0
123.25,0.125,0,64,127,63.8,0.1,N/A,N/A,0
123.5,0.125,0,63,127,63.9,0.1,N/A,N/A,0
123.75,0.125,0,64,127,64,0.1,N/A,N/A,0
124,0.125,0,61,127,64.2,0.1,N/A,N/A,0
124.75,0.5,0,61,127,64.6,0.3,N/A,N/A,0
125.25,0.125,0,63,127,64.8,0.1,N/A,N/A,0
125.5,0.125,0,64,127,65,0.1,N/A,N/A,0
125.75,0.125,0,71,127,65.1,0.1,N/A,N/A,0
126,0.125,0,68,127,65.2,0.1,N/A,N/A,0
127,0.125,0,61,127,65.7,0.1,N/A,N/A,0
127.25,0.125,0,64,127,65.9,0.1,N/A,N/A,0
127.5,0.125,0,63,127,66,0.1,N/A,N/A,0
127.75,0.125,0,64,127,66.1,0.1,N/A,N/A,0
128,0.125,0,61,127,66.3,0.1,N/A,N/A,0
128.75,0.5,0,61,127,66.7,0.3,N/A,N/A,0
129.25,0.125,0,63,127,66.9,0.1,N/A,N/A,0
129.5,0.125,0,64,127,67,0.1,N/A,N/A,0
129.75,0.125,0,71,127,67.2,0.1,N/A,N/A,0
130,0.125,0,68,127,67.3,0.1,N/A,N/A,0
131,0.125,0,61,127,67.8,0.1,N/A,N/A,0
131.25,0.125,0,64,127,68,0.1,N/A,N/A,0
131.5,0.125,0,63,127,68.1,0.1,N/A,N/A,0
131.75,0.125,0,64,127,68.2,0.1,N/A,N/A,0
132,0.125,0,61,127,68.3,0.1,N/A,N/A,0
132.75,0.5,0,61,127,68.7,0.3,N/A,N/A,0
133.25,0.125,0,63,127,69,0.1,N/A,N/A,0
133.5,0.125,0,64,127,69.1,0.1,N/A,N/A,0
133.75,0.125,0,71,127,69.3,0.1,N/A,N/A,0
134,0.125,0,68,127,69.4,0.1,N/A,N/A,0
135,0.75,0,60,127,69.9,0.4,N/A,N/A,0
135.75,0.75,0,66,127,70.3,0.4,N/A,N/A,0
136.5,0.25,0,64,127,70.7,0.1,N/A,N/A,0
136.875,0.125,0,62,127,70.9,0.1,N/A,N/A,0
137,0.25,0,63,127,71,0.1,N/A,N/A,0
137.25,0.25,0,61,127,71.1,0.1,N/A,N/A,0
137.75,0.5,0,60,127,71.3,0.3,N/A,N/A,0
138.25,0.125,0,61,127,71.6,0.1,N/A,N/A,0
138.375,0.125,0,62,127,71.7,0.1,N/A,N/A,0
138.5,0.5,0,63,127,71.7,0.3,N/A,N/A,0
139,0.125,0,61,127,72,0.1,N/A,N/A,0
139.25,0.125,0,64,127,72.1,0.1,N/A,N/A,0
139.5,0.125,0,63,127,72.3,0.1,N/A,N/A,0
139.75,0.125,0,64,127,72.4,0.1,N/A,N/A,0
140,0.125,0,61,127,72.5,0.1,N/A,N/A,0
140.75,0.5,0,61,127,72.9,0.3,N/A,N/A,0
141.25,0.125,0,63,127,73.2,0.1,N/A,N/A,0
141.5,0.125,0,64,127,73.3,0.1,N/A,N/A,0
141.75,0.125,0,71,127,73.4,0.1,N/A,N/A,0
142,0.125,0,68,127,73.6,0.1,N/A,N/A,0
143,0.125,0,61,127,74.1,0.1,N/A,N/A,0
143.25,0.125,0,64,127,74.2,0.1,N/A,N/A,0
143.5,0.125,0,63,127,74.3,0.1,N/A,N/A,0
143.75,0.125,0,64,127,74.5,0.1,N/A,N/A,0
144,0.125,0,61,127,74.6,0.1,N/A,N/A,0
144.75,0.5,0,61,127,75,0.3,N/A,N/A,0
145.25,0.125,0,63,127,75.3,0.1,N/A,N/A,0
145.5,0.125,0,64,127,75.4,0.1,N/A,N/A,0
145.75,0.125,0,71,127,75.5,0.1,N/A,N/A,0
146,0.125,0,68,127,75.7,0.1,N/A,N/A,0
147,0.125,0,61,127,76.2,0.1,N/A,N/A,0
147.25,0.125,0,64,127,76.3,0.1,N/A,N/A,0
147.5,0.125,0,63,127,76.4,0.1,N/A,N/A,0
147.75,0.125,0,64,127,76.6,0.1,N/A,N/A,0
148,0.125,0,61,127,76.7,0.1,N/A,N/A,0
148.75,0.5,0,61,127,77.1,0.3,N/A,N/A,0
149.25,0.125,0,63,127,77.3,0.1,N/A,N/A,0
149.5,0.125,0,64,127,77.5,0.1,N/A,N/A,0
149.75,0.125,0,71,127,77.6,0.1,N/A,N/A,0
150,0.125,0,68,127,77.7,0.1,N/A,N/A,0
151,0.75,0,59,127,78.3,0.4,N/A,N/A,0
151.75,0.75,0,66,127,78.7,0.4,N/A,N/A,0
152.5,0.25,0,64,127,79,0.1,N/A,N/A,0
152.875,0.125,0,62,127,79.2,0.1,N/A,N/A,0
153,0.25,0,63,127,79.3,0.1,N/A,N/A,0
153.25,0.25,0,61,127,79.4,0.1,N/A,N/A,0
153.75,0.5,0,59,127,79.7,0.3,N/A,N/A,0
154.25,0.125,0,61,127,80,0.1,N/A,N/A,0
154.375,0.125,0,62,127,80,0.1,N/A,N/A,0
154.5,0.5,0,63,127,80.1,0.3,N/A,N/A,0
155,0.125,0,61,127,80.3,0.1,N/A,N/A,0
155.25,0.125,0,64,127,80.5,0.1,N/A,N/A,0
155.5,0.125,0,63,127,80.6,0.1,N/A,N/A,0
155.75,0.125,0,64,127,80.7,0.1,N/A,N/A,0
156,0.125,0,61,127,80.9,0.1,N/A,N/A,0
156.75,0.5,0,61,127,81.3,0.3,N/A,N/A,0
157.25,0.125,0,63,127,81.5,0.1,N/A,N/A,0
157.5,0.125,0,64,127,81.7,0.1,N/A,N/A,0
157.75,0.125,0,71,127,81.8,0.1,N/A,N/A,0
158,0.125,0,68,127,81.9,0.1,N/A,N/A,0
159,0.125,0,61,127,82.4,0.1,N/A,N/A,0
159.25,0.125,0,64,127,82.6,0.1,N/A,N/A,0
159.5,0.125,0,63,127,82.7,0.1,N/A,N/A,0
159.75,0.125,0,64,127,82.8,0.1,N/A,N/A,0
160,0.125,0,61,127,83,0.1,N/A,N/A,0
160.75,0.5,0,61,127,83.3,0.3,N/A,N/A,0
161.25,0.125,0,63,127,83.6,0.1,N/A,N/A,0
161.5,0.125,0,64,127,83.7,0.1,N/A,N/A,0
161.75,0.125,0,71,127,83.9,0.1,N/A,N/A,0
162,0.125,0,68,127,84,0.1,N/A,N/A,0
163,0.125,0,61,127,84.5,0.1,N/A,N/A,0
163.25,0.125,0,64,127,84.7,0.1,N/A,N/A,0
163.5,0.125,0,63,127,84.8,0.1,N/A,N/A,0
163.75,0.125,0,64,127,84.9,0.1,N/A,N/A,0
164,0.125,0,61,127,85,0.1,N/A,N/A,0
164.75,0.5,0,61,127,85.4,0.3,N/A,N/A,0
165.25,0.125,0,63,127,85.7,0.1,N/A,N/A,0
165.5,0.125,0,64,127,85.8,0.1,N/A,N/A,0
165.75,0.125,0,71,127,86,0.1,N/A,N/A,0
166,0.125,0,68,127,86.1,0.1,N/A,N/A,0
167,0.75,0,60,127,86.6,0.4,N/A,N/A,0
167.75,0.75,0,66,127,87,0.4,N/A,N/A,0
168.5,0.25,0,64,127,87.4,0.1,N/A,N/A,0
168.875,0.125,0,62,127,87.6,0.1,N/A,N/A,0
169,0.25,0,63,127,87.7,0.1,N/A,N/A,0
169.25,0.25,0,61,127,87.8,0.1,N/A,N/A,0
169.75,0.5,0,60,127,88,0.3,N/A,N/A,0
170.25,0.125,0,61,127,88.3,0.1,N/A,N/A,0
170.375,0.125,0,62,127,88.4,0.1,N/A,N/A,0
170.5,0.5,0,63,127,88.4,0.3,N/A,N/A,0
171,3,0,73,127,88.7,1.6,N/A,N/A,0
174,0.25,0,68,127,90.3,0.1,N/A,N/A,0
174.5,0.25,0,71,127,90.5,0.1,N/A,N/A,0
175,1.5,0,73,127,90.8,0.8,N/A,N/A,0
176.5,0.5,0,76,127,91.6,0.3,N/A,N/A,0
177,0.25,0,78,127,91.8,0.1,N/A,N/A,0
177.25,0.25,0,76,127,92,0.1,N/A,N/A,0
177.625,0.125,0,74,127,92.2,0.1,N/A,N/A,0
177.75,0.5,0,75,127,92.2,0.3,N/A,N/A,0
178.5,0.5,0,76,127,92.6,0.3,N/A,N/A,0
179,1.75,0,73,127,92.9,0.9,N/A,N/A,0
181,0.25,0,68,127,93.9,0.1,N/A,N/A,0
181.5,0.25,0,68,127,94.2,0.1,N/A,N/A,0
181.75,0.25,0,71,127,94.3,0.1,N/A,N/A,0
182.25,0.125,0,71,127,94.6,0.1,N/A,N/A,0
182.375,0.125,0,75,127,94.6,0.1,N/A,N/A,0
182.5,0.25,0,76,127,94.7,0.1,N/A,N/A,0
183,1.5,0,75,127,95,0.8,N/A,N/A,0
185,0.75,0,73,127,96,0.4,N/A,N/A,0
185.75,0.75,0,76,127,96.4,0.4,N/A,N/A,0
186.5,0.5,0,78,127,96.8,0.3,N/A,N/A,0
187,2,0,80,127,97,1,N/A,N/A,0
190,0.25,0,76,127,98.6,0.1,N/A,N/A,0
190.5,0.25,0,78,127,98.9,0.1,N/A,N/A,0
191,1,0,80,127,99.1,0.5,N/A,N/A,0
192.5,0.5,0,78,127,99.9,0.3,N/A,N/A,0
193,0.5,0,76,127,100.2,0.3,N/A,N/A,0
193.5,0.25,0,78,127,100.4,0.1,N/A,N/A,0
193.75,0.25,0,75,127,100.6,0.1,N/A,N/A,0
194.5,0.5,0,71,127,101,0.3,N/A,N/A,0
195,2,0,73,127,101.2,1,N/A,N/A,0
198,0.25,0,76,127,102.8,0.1,N/A,N/A,0
198.5,0.25,0,78,127,103,0.1,N/A,N/A,0
199,1,0,80,127,103.3,0.5,N/A,N/A,0
200.375,0.125,0,77,127,104,0.1,N/A,N/A,0
200.5,0.25,0,78,127,104.1,0.1,N/A,N/A,0
201,0.5,0,76,127,104.3,0.3,N/A,N/A,0
201.5,0.25,0,78,127,104.6,0.1,N/A,N/A,0
201.75,0.25,0,75,127,104.7,0.1,N/A,N/A,0
202.5,0.5,0,83,127,105.1,0.3,N/A,N/A,0
203,2,0,80,127,105.4,1,N/A,N/A,0
206,0.25,0,76,127,107,0.1,N/A,N/A,0
206.5,0.25,0,78,127,107.2,0.1,N/A,N/A,0
207,1,0,80,127,107.5,0.5,N/A,N/A,0
208.5,0.5,0,78,127,108.3,0.3,N/A,N/A,0
209,0.5,0,76,127,108.5,0.3,N/A,N/A,0
209.5,0.25,0,78,127,108.8,0.1,N/A,N/A,0
209.75,0.25,0,75,127,108.9,0.1,N/A,N/A,0
210.5,0.5,0,71,127,109.3,0.3,N/A,N/A,0
211,3.75,0,73,127,109.6,2,N/A,N/A,0
215,3,0,75,127,111.7,1.6,N/A,N/A,0
